Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"July 22, 2023",Middleweight Bout,Method:KO/TKO,Round:2,Time:4:40,Paul Craig,W,0,40 of 82,2 of 2,1,0,2:56,10 of 32,0 of 0,30 of 50,Andre Muniz,L,0,24 of 40,2 of 2,0,0,1:47,15 of 27,1 of 1,8 of 12
"July 22, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Jai Herbert,L,0,49 of 134,0 of 6,0,0,4:12,38 of 119,11 of 15,0 of 0,Fares Ziam,W,0,61 of 113,1 of 5,0,0,1:30,45 of 93,16 of 20,0 of 0
"July 22, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Lerone Murphy,W,1,59 of 109,3 of 5,2,0,7:38,24 of 61,12 of 14,23 of 34,Josh Culibao,L,0,23 of 59,0 of 2,0,0,1:30,19 of 53,4 of 6,0 of 0
"July 22, 2023",Bantamweight Bout,Method:Decision - Split,Round:3,Time:5:00,Davey Grant,L,0,70 of 215,0 of 1,0,0,0:06,70 of 213,0 of 2,0 of 0,Daniel Marcos,W,0,48 of 140,1 of 1,0,0,0:13,47 of 139,1 of 1,0 of 0
"July 22, 2023",Welterweight Bout,Method:KO/TKO,Round:2,Time:4:57,Danny Roberts,L,0,44 of 133,0 of 2,0,0,0:05,44 of 132,0 of 1,0 of 0,Jonny Parsons,W,2,63 of 124,0 of 0,0,0,1:26,51 of 101,7 of 15,5 of 8
"July 22, 2023",Lightweight Bout,Method:Submission,Round:2,Time:4:26,Marc Diakiese,L,0,20 of 46,2 of 3,0,0,3:09,20 of 46,0 of 0,0 of 0,Joel Alvarez,W,0,42 of 75,0 of 1,1,0,1:26,37 of 70,2 of 2,3 of 3
"July 22, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Mick Parkin,W,0,95 of 156,0 of 0,0,0,0:00,92 of 151,3 of 5,0 of 0,Jamal Pogues,L,0,36 of 135,0 of 1,0,0,1:17,34 of 132,2 of 3,0 of 0
"July 22, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Makhmud Muradov,W,2,54 of 97,13 of 16,0,0,5:10,46 of 79,5 of 11,3 of 7,Bryan Barberena,L,0,28 of 81,0 of 1,0,0,0:02,27 of 79,1 of 2,0 of 0
"July 22, 2023",Women's Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Ketlen Vieira,W,0,15 of 33,3 of 3,3,0,10:49,8 of 25,1 of 2,6 of 6,Pannie Kianzad,L,0,22 of 51,0 of 0,0,1,2:11,10 of 30,0 of 0,12 of 21
"July 22, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Chris Duncan,W,0,85 of 206,2 of 4,0,0,0:48,82 of 200,3 of 6,0 of 0,Yanal Ashmouz,L,0,35 of 98,0 of 1,0,0,0:00,34 of 96,1 of 2,0 of 0
