Fighter 1 Name,Number of Fights,KOTKO_Rate,Submission_Rate,TD Success Rate,SIG STR Accuracy,Control Time Rate,Prop Distance Strikes,Prop Clinch Strikes,Prop Ground Strikes,Activity Measure,Win rate,TD Defense Rate,Striking Defense Rate,Uncontrolled Time Rate
Miesha Tate,12.0,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.45843828715365237,0.2699962448366504,0.6703296703296703,0.17399267399267399,0.15567765567765568,3.227562898986106,0.5,0.5777777777777777,0.5264873675631622,0.7869883589936162
Mike Perry,15.0,0.26666666666666666,0.0,0.4090909090909091,0.4743758212877792,0.1576162906767818,0.778393351800554,0.12188365650969529,0.0997229916897507,4.39009782391695,0.4666666666666667,0.7857142857142857,0.5289934354485777,0.9491914553803155
Mike Pierce,14.0,0.21428571428571427,0.07142857142857142,0.41333333333333333,0.42377756471716205,0.46971655892590747,0.4796380090497738,0.2850678733031674,0.23529411764705882,2.840377921432123,0.6428571428571429,0.6923076923076923,0.6224677716390423,0.9272998508204873
Mike Pyle,19.0,0.2631578947368421,0.10526315789473684,0.37209302325581395,0.4372146118721461,0.1843916518650089,0.5900783289817232,0.19843342036553524,0.21148825065274152,2.77753108348135,0.5263157894736842,0.7307692307692308,0.6074600355239788,0.6845026642984013
Mike Swick,15.0,0.3333333333333333,0.13333333333333333,0.47058823529411764,0.35785536159601,0.2211576846307385,0.5017421602787456,0.3797909407665505,0.11846689895470383,2.403193612774451,0.6666666666666666,0.5714285714285714,0.5523076923076924,0.7136393878908849
Mirko Filipovic,11.0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.4411214953271028,0.1276049100770768,0.5423728813559322,0.2796610169491525,0.17796610169491525,2.0639451898372823,0.45454545454545453,0.7297297297297297,0.5790884718498659,0.7126748501284613
Mirsad Bektic,10.0,0.2,0.1,0.5294117647058824,0.4179357021996616,0.5961664482306684,0.42105263157894735,0.10526315789473684,0.47368421052631576,2.7326343381389253,0.6,0.9230769230769231,0.5783410138248848,0.9397116644823067
Misha Cirkunov,13.0,0.07692307692307693,0.38461538461538464,0.3953488372093023,0.5185995623632386,0.28362255965292843,0.569620253164557,0.21940928270042195,0.2109704641350211,4.295010845986985,0.46153846153846156,0.7692307692307692,0.5775280898876405,0.8627982646420824
Molly McCann,11.0,0.18181818181818182,0.0,0.35135135135135137,0.49925705794947994,0.10970285875228843,0.8333333333333334,0.08482142857142858,0.0818452380952381,5.830164765525983,0.5454545454545454,0.43333333333333335,0.6377264209868831,0.7125756935642867
Montana De La Rosa,10.0,0.1,0.3,0.3333333333333333,0.36486486486486486,0.3222477064220184,0.6635802469135802,0.13271604938271606,0.2037037037037037,2.958715596330275,0.5,0.6470588235294117,0.45252225519287836,0.8352924311926606
Myles Jury,12.0,0.25,0.08333333333333333,0.5517241379310345,0.42633637548891784,0.3070228091236495,0.654434250764526,0.039755351681957186,0.3058103975535168,3.1332533013205284,0.6666666666666666,0.5,0.6680497925311204,0.9017106842737095
Nasrat Haqparast,11.0,0.09090909090909091,0.0,0.2,0.4462129527991218,0.0416176816364919,0.8905289052890529,0.056580565805658053,0.05289052890528905,5.755936985657184,0.6363636363636364,0.7878787878787878,0.6437440305635148,0.8834940042323066
Nate Diaz,27.0,0.07407407407407407,0.37037037037037035,0.2647058823529412,0.4457274826789838,0.14012550027175255,0.7331606217616581,0.22150259067357514,0.04533678756476684,4.728494490834527,0.5925925925925926,0.4387755102040817,0.5285064707939839,0.7100153169623005
Nate Marquardt,25.0,0.24,0.12,0.5892857142857143,0.5137540453074434,0.2785092302333682,0.6188976377952756,0.17165354330708663,0.2094488188976378,2.8631138975966564,0.52,0.711864406779661,0.5831932773109243,0.8389411354928596
